emb_units,lstm_units,dropout,l_rate,replication,sparse_categorical_accuracy
128.0,300.0,0.6,0.001,2.0,0.3396172523498535
64.0,500.0,0.8,0.001,3.0,0.37046557664871216
96.0,300.0,0.8,0.001,3.0,0.39074549078941345
64.0,300.0,0.6,0.001,3.0,0.36046844720840454
96.0,300.0,0.6,0.001,2.0,0.34475862979888916
32.0,600.0,0.8,0.001,1.0,0.36503857374191284
32.0,100.0,0.8,0.001,2.0,0.3856041133403778
96.0,300.0,0.6,0.001,3.0,0.3661811053752899
128.0,400.0,0.6,0.001,1.0,0.30991145968437195
96.0,500.0,0.8,0.001,2.0,0.3876035511493683
96.0,200.0,0.6,0.001,3.0,0.3738931715488434
32.0,600.0,0.6,0.001,2.0,0.3204798698425293
32.0,300.0,0.6,0.001,3.0,0.33190515637397766
96.0,600.0,0.8,0.001,3.0,0.36332476139068604
64.0,300.0,0.8,0.001,2.0,0.3904598653316498
32.0,500.0,0.6,0.001,1.0,0.3130533993244171
64.0,100.0,0.6,0.001,3.0,0.39274492859840393
96.0,200.0,0.6,0.001,2.0,0.3718937337398529
32.0,400.0,0.6,0.001,1.0,0.3241930902004242
128.0,100.0,0.8,0.001,1.0,0.3858897387981415
96.0,400.0,0.6,0.001,3.0,0.2959154546260834
96.0,500.0,0.8,0.001,3.0,0.3764638602733612
96.0,200.0,0.8,0.001,3.0,0.41273921728134155
128.0,600.0,0.8,0.001,1.0,0.36875179409980774
128.0,600.0,0.6,0.001,2.0,0.3179091811180115
128.0,100.0,0.8,0.001,2.0,0.38788917660713196
32.0,300.0,0.6,0.001,2.0,0.33818909525871277
64.0,600.0,0.6,0.001,3.0,0.3047700524330139
128.0,500.0,0.8,0.001,1.0,0.37246501445770264
96.0,600.0,0.6,0.001,1.0,0.3004855811595917
64.0,100.0,0.8,0.001,2.0,0.38703227043151855
64.0,300.0,0.8,0.001,3.0,0.4033133387565613
96.0,600.0,0.6,0.001,2.0,0.30991145968437195
128.0,300.0,0.8,0.001,1.0,0.4001713693141937
64.0,200.0,0.6,0.001,2.0,0.36332476139068604
128.0,600.0,0.6,0.001,1.0,0.30248501896858215
96.0,300.0,0.6,0.001,1.0,0.34018850326538086
64.0,300.0,0.6,0.001,1.0,0.3487575054168701
64.0,500.0,0.6,0.001,3.0,0.30362752079963684
64.0,400.0,0.8,0.001,3.0,0.38531848788261414
128.0,600.0,0.8,0.001,2.0,0.37132248282432556
64.0,400.0,0.6,0.001,2.0,0.30705511569976807
96.0,600.0,0.8,0.001,1.0,0.36132532358169556
64.0,500.0,0.8,0.001,2.0,0.37989145517349243
64.0,500.0,0.6,0.001,1.0,0.3141959309577942
128.0,300.0,0.6,0.001,3.0,0.35018566250801086
128.0,400.0,0.6,0.001,3.0,0.31819480657577515
32.0,500.0,0.8,0.001,2.0,0.37789201736450195
64.0,100.0,0.6,0.001,1.0,0.38817480206489563
32.0,200.0,0.6,0.001,1.0,0.37789201736450195
128.0,300.0,0.8,0.001,3.0,0.3930305540561676
32.0,100.0,0.8,0.001,3.0,0.38503286242485046
64.0,200.0,0.6,0.001,3.0,0.37503570318222046
128.0,200.0,0.6,0.001,2.0,0.3610396981239319
