model;recall;precision;mrr;hit;coverage;n_padded;k;n_exp
model1;0.09061628619476814;0.03478260869565216;0.07998885172798215;0.14381270903010032;0.07793075792006417;12;5;2
model2;0.08503837111058923;0.029431438127090308;0.07775919732441469;0.13712374581939799;0.06322684133137281;12;5;2
model3;0.08514870661149218;0.031438127090301006;0.08522853957636566;0.12709030100334448;0.06322684133137281;12;5;2
model4;0.08534778289752497;0.032107023411371234;0.07285395763656631;0.13712374581939799;0.067370672370004;12;5;2
model5;0.0858661460540606;0.029431438127090308;0.06555183946488294;0.12709030100334448;0.05480550728512231;12;5;2
model6;0.10717052537244134;0.03879598662207357;0.09470457079152729;0.1605351170568562;0.06924207993583746;12;5;2
model7;0.09407036098266754;0.033444816053511704;0.08188405797101449;0.14715719063545152;0.06643496858708729;12;5;2
model1;0.07269051263155907;0.03010033444816054;0.07787068004459308;0.13043478260869565;0.07004411174976607;12;5;3
model2;0.10284962519671435;0.03478260869565216;0.09007803790412484;0.15719063545150502;0.06389520117631332;12;5;3
model3;0.09796732989437486;0.03612040133779263;0.09158305462653288;0.1505016722408027;0.06456356102125384;12;5;3
model4;0.0952399847757254;0.03478260869565216;0.08294314381270902;0.14381270903010032;0.06857372009089693;12;5;3
model5;0.0893831604406402;0.029431438127090308;0.07692307692307691;0.13377926421404682;0.051597380029407836;12;5;3
model6;0.0879905712072256;0.03277591973244147;0.07146042363433666;0.13712374581939799;0.07271755112952814;12;5;3
model7;0.11617275502684492;0.0394648829431438;0.09894091415830546;0.1705685618729097;0.06483090495923005;12;5;3
model1;0.08760436321232196;0.032107023411371234;0.07664437012263098;0.13712374581939799;0.07632669429220693;12;5;4
model2;0.10603124665394378;0.03612040133779263;0.09124860646599775;0.1705685618729097;0.06509824889720625;12;5;4
model3;0.08492479640232035;0.03010033444816054;0.0778149386845039;0.12709030100334448;0.06670231252506349;12;5;4
model4;0.10488020331424901;0.03478260869565216;0.08896321070234113;0.15384615384615385;0.06844004812190883;12;5;4
model5;0.07993898143124378;0.02809364548494984;0.07809364548494982;0.12374581939799331;0.054538163347146104;12;5;4
model6;0.09824792623245092;0.03411371237458193;0.08439241917502785;0.14715719063545152;0.07338591097446866;12;5;4
model7;0.10867156056912873;0.03812709030100333;0.08478260869565217;0.16722408026755853;0.06910840796684935;12;5;4
model1;0.08520748472848694;0.031438127090301006;0.07764771460423632;0.13377926421404682;0.07351958294345676;12;5;5
