t_id;t_date;c_id;recency;payment;month;dayofweek;item_code;category_code;method_code
436776.0;2017-04-02;96;99;14;4;7;145;8;1
436782.0;2017-04-02;97;99;3;4;7;146;2;1
436783.0;2017-04-02;97;99;4;4;7;147;3;1
436786.0;2017-04-02;98;99;16;4;7;148;6;1
436789.0;2017-04-02;99;99;9;4;7;149;6;1
436792.0;2017-04-02;100;99;2;4;7;150;10;4
436809.0;2017-04-02;101;99;4;4;7;151;13;1
436810.0;2017-04-02;101;99;1;4;7;152;5;1
436811.0;2017-04-02;101;99;1;4;7;153;8;1
436812.0;2017-04-02;101;99;1;4;7;154;5;1
436813.0;2017-04-02;101;99;1;4;7;15;7;1
436816.0;2017-04-02;102;99;3;4;7;60;8;1
436829.0;2017-04-02;103;99;3;4;7;60;8;1
436852.0;2017-04-02;104;99;339;4;7;155;10;2
436849.0;2017-04-02;105;99;2;4;7;156;5;1
436850.0;2017-04-02;105;99;3;4;7;157;5;1
436859.0;2017-04-02;106;99;84;4;7;158;10;2
436869.0;2017-04-02;106;99;84;4;7;131;10;2
436872.0;2017-04-02;107;99;5;4;7;159;3;1
436873.0;2017-04-02;107;99;5;4;7;160;3;1
436879.0;2017-04-02;107;99;5;4;7;70;3;1
436880.0;2017-04-02;107;99;5;4;7;80;3;1
436881.0;2017-04-02;107;99;5;4;7;161;3;1
436888.0;2017-04-02;107;99;5;4;7;162;3;1
436889.0;2017-04-02;107;99;5;4;7;29;3;1
436891.0;2017-04-02;104;99;379;4;7;163;6;2
436907.0;2017-04-02;108;99;14;4;7;164;3;1
436908.0;2017-04-02;108;99;14;4;7;165;3;1
436902.0;2017-04-02;104;99;280;4;7;166;6;2
436905.0;2017-04-02;106;99;84;4;7;167;10;2
436909.0;2017-04-02;109;99;7;4;7;168;8;3
436915.0;2017-04-02;110;99;7;4;7;169;11;1
436918.0;2017-04-02;111;99;2;4;7;62;1;1
436919.0;2017-04-02;111;99;3;4;7;60;8;1
436931.0;2017-04-02;112;99;3;4;7;170;10;1
436932.0;2017-04-02;112;99;4;4;7;171;6;1
436933.0;2017-04-02;112;99;1;4;7;172;6;1
436936.0;2017-04-02;113;99;4;4;7;1;1;1
436937.0;2017-04-02;113;99;3;4;7;173;11;1
436946.0;2017-04-02;114;99;7;4;7;174;6;1
436949.0;2017-04-02;115;99;3;4;7;175;2;1
436958.0;2017-04-02;116;99;5;4;7;176;6;1
436959.0;2017-04-02;81;99;6;4;7;177;10;2
436961.0;2017-04-02;117;99;32;4;7;178;10;1
436962.0;2017-04-02;117;99;13;4;7;179;3;1
436965.0;2017-04-02;118;99;5;4;7;180;4;1
436972.0;2017-04-02;119;99;4;4;7;181;8;1
436973.0;2017-04-02;119;99;2;4;7;182;3;1
436975.0;2017-04-02;119;99;3;4;7;183;4;1
436982.0;2017-04-02;120;99;37;4;7;184;3;1
436996.0;2017-04-03;47;99;11;4;1;185;3;1
436997.0;2017-04-03;47;99;14;4;1;186;3;1
437011.0;2017-04-03;121;99;6;4;1;187;10;1
437012.0;2017-04-03;121;99;1;4;1;188;7;1
437013.0;2017-04-03;121;99;4;4;1;189;7;1
437014.0;2017-04-03;121;99;2;4;1;190;7;1
437015.0;2017-04-03;121;99;2;4;1;191;7;1
437016.0;2017-04-03;121;99;2;4;1;192;7;1
437017.0;2017-04-03;121;99;2;4;1;193;7;1
437045.0;2017-04-03;122;99;66;4;1;194;10;1
437046.0;2017-04-03;122;99;6;4;1;134;13;1
437061.0;2017-04-03;123;99;1;4;1;195;5;1
437062.0;2017-04-03;124;99;1;4;1;196;11;1
437063.0;2017-04-03;125;99;6;4;1;197;3;1
437064.0;2017-04-03;124;99;1;4;1;198;11;1
437065.0;2017-04-03;124;99;1;4;1;196;11;1
437075.0;2017-04-03;126;99;1;4;1;99;8;1
437085.0;2017-04-03;49;99;16;4;1;66;7;1
437086.0;2017-04-03;49;99;16;4;1;66;7;1
437088.0;2017-04-03;49;99;16;4;1;66;7;1
437087.0;2017-04-03;49;99;16;4;1;66;7;1
437092.0;2017-04-03;127;99;42;4;1;199;3;1
437093.0;2017-04-03;127;99;21;4;1;200;3;1
437100.0;2017-04-03;127;99;17;4;1;201;3;1
437106.0;2017-04-03;12;99;7;4;1;202;6;1
437110.0;2017-04-03;12;99;34;4;1;203;9;1
437121.0;2017-04-03;12;99;8;4;1;204;2;1
437143.0;2017-04-03;12;99;50;4;1;20;10;1
437151.0;2017-04-03;119;99;104;4;1;208;12;1
437145.0;2017-04-03;27;99;50;4;1;20;10;1
437149.0;2017-04-03;20;99;4;4;1;32;2;1
437150.0;2017-04-03;20;99;4;4;1;181;8;1
437157.0;2017-04-03;129;99;17;4;1;209;6;1
437158.0;2017-04-03;130;99;62;4;1;34;6;1
437159.0;2017-04-03;11;99;143;4;1;210;10;1
437165.0;2017-04-03;131;99;2;4;1;62;1;1
437166.0;2017-04-03;131;99;6;4;1;211;2;1
437168.0;2017-04-03;131;99;3;4;1;67;2;1
437169.0;2017-04-03;132;99;26;4;1;212;6;1
437172.0;2017-04-03;132;99;13;4;1;212;6;1
437173.0;2017-04-03;133;99;8;4;1;213;2;1
437176.0;2017-04-03;134;99;3;4;1;60;8;1
437177.0;2017-04-03;135;99;6;4;1;65;2;1
437184.0;2017-04-03;135;99;6;4;1;65;2;1
437179.0;2017-04-03;12;99;2;4;1;214;2;1
437181.0;2017-04-03;12;99;2;4;1;215;2;1
437183.0;2017-04-03;12;99;2;4;1;13;5;1
437189.0;2017-04-03;12;99;4;4;1;216;1;1
437191.0;2017-04-03;136;99;3;4;1;217;6;1
