model_num,rnn_style,emb_units,rnn_units,drop_rate,l_rate,replication,accuracy
2.0,lstm,128.0,100.0,0.8,0.001,2.0,0.38788917660713196
2.0,lstm,32.0,400.0,0.6,0.001,1.0,0.32562124729156494
2.0,lstm,32.0,100.0,0.8,0.001,2.0,0.38331905007362366
2.0,lstm,32.0,200.0,0.8,0.001,1.0,0.3813196122646332
2.0,lstm,96.0,600.0,0.8,0.001,1.0,0.3673236072063446
2.0,lstm,128.0,600.0,0.6,0.001,2.0,0.3064838647842407
2.0,lstm,64.0,200.0,0.6,0.001,1.0,0.3736075460910797
2.0,lstm,96.0,300.0,0.6,0.001,2.0,0.3333333432674408
2.0,lstm,64.0,100.0,0.6,0.001,2.0,0.3867466449737549
2.0,lstm,96.0,100.0,0.8,0.001,2.0,0.38903170824050903
2.0,lstm,64.0,300.0,0.6,0.001,1.0,0.33761781454086304
2.0,lstm,128.0,200.0,0.8,0.001,1.0,0.39817196130752563
2.0,lstm,64.0,300.0,0.8,0.001,1.0,0.38360467553138733
2.0,lstm,128.0,500.0,0.8,0.001,2.0,0.3693230450153351
2.0,lstm,64.0,500.0,0.8,0.001,1.0,0.37789201736450195
2.0,lstm,64.0,100.0,0.6,0.001,1.0,0.38903170824050903
2.0,lstm,32.0,500.0,0.6,0.001,2.0,0.3213367462158203
2.0,lstm,64.0,200.0,0.8,0.001,1.0,0.39702942967414856
2.0,lstm,32.0,400.0,0.8,0.001,2.0,0.36760926246643066
2.0,lstm,96.0,400.0,0.8,0.001,1.0,0.37503570318222046
2.0,lstm,96.0,400.0,0.6,0.001,1.0,0.3224792778491974
2.0,lstm,128.0,400.0,0.8,0.001,2.0,0.36703798174858093
2.0,lstm,96.0,100.0,0.6,0.001,1.0,0.39160239696502686
2.0,lstm,96.0,300.0,0.8,0.001,2.0,0.3901742398738861
2.0,lstm,96.0,300.0,0.8,0.001,1.0,0.3876035511493683
2.0,lstm,128.0,300.0,0.6,0.001,2.0,0.336760938167572
2.0,lstm,128.0,600.0,0.8,0.001,2.0,0.3598971664905548
2.0,lstm,32.0,300.0,0.6,0.001,1.0,0.34475862979888916
2.0,lstm,64.0,400.0,0.8,0.001,1.0,0.3738931715488434
2.0,lstm,128.0,200.0,0.6,0.001,1.0,0.3610396981239319
2.0,lstm,96.0,100.0,0.8,0.001,1.0,0.38503286242485046
2.0,lstm,128.0,300.0,0.6,0.001,1.0,0.342473566532135
2.0,lstm,64.0,200.0,0.6,0.001,2.0,0.37160810828208923
2.0,lstm,128.0,300.0,0.8,0.001,1.0,0.38817480206489563
2.0,lstm,128.0,600.0,0.6,0.001,1.0,0.2976292371749878
2.0,lstm,64.0,400.0,0.6,0.001,1.0,0.3324764370918274
2.0,lstm,32.0,600.0,0.8,0.001,1.0,0.34761497378349304
2.0,lstm,96.0,300.0,0.6,0.001,1.0,0.34218794107437134
2.0,lstm,128.0,400.0,0.6,0.001,2.0,0.3039131760597229
2.0,lstm,128.0,100.0,0.6,0.001,2.0,0.39331620931625366
2.0,lstm,32.0,200.0,0.8,0.001,2.0,0.3847472071647644
2.0,lstm,32.0,600.0,0.6,0.001,1.0,0.300199955701828
2.0,lstm,96.0,200.0,0.6,0.001,2.0,0.37217938899993896
2.0,lstm,96.0,600.0,0.8,0.001,2.0,0.35932591557502747
2.0,lstm,128.0,400.0,0.8,0.001,1.0,0.3744644522666931
2.0,lstm,32.0,600.0,0.8,0.001,2.0,0.36418166756629944
2.0,lstm,128.0,200.0,0.6,0.001,2.0,0.37903454899787903
2.0,lstm,64.0,600.0,0.6,0.001,1.0,0.28420451283454895
2.0,lstm,128.0,100.0,0.6,0.001,1.0,0.3838903307914734
2.0,lstm,32.0,100.0,0.6,0.001,1.0,0.38817480206489563
2.0,lstm,32.0,100.0,0.6,0.001,2.0,0.393887460231781
2.0,lstm,96.0,500.0,0.6,0.001,1.0,0.3147672116756439
2.0,lstm,96.0,400.0,0.8,0.001,2.0,0.3810339868068695
2.0,lstm,64.0,600.0,0.8,0.001,1.0,0.36332476139068604
2.0,lstm,96.0,400.0,0.6,0.001,2.0,0.33304768800735474
2.0,lstm,32.0,300.0,0.6,0.001,2.0,0.331619530916214
