model_num,rnn_style,emb_units,rnn_units,drop_rate,l_rate,replication,accuracy
2.0,lstm,32.0,100.0,0.6,0.001,2.0,0.31661003828048706
2.0,lstm,64.0,600.0,0.8,0.001,1.0,0.30249977111816406
2.0,lstm,64.0,200.0,0.8,0.001,2.0,0.3383851647377014
2.0,lstm,96.0,500.0,0.8,0.001,1.0,0.3169584572315216
3.0,lstm,96.0,200.0,0.6,0.001,1.0,0.30319657921791077
3.0,lstm,128.0,400.0,0.6,0.001,2.0,0.27854716777801514
3.0,lstm,128.0,300.0,0.8,0.001,1.0,0.3294138014316559
2.0,lstm,128.0,400.0,0.6,0.001,2.0,0.2586882710456848
3.0,lstm,96.0,300.0,0.8,0.001,2.0,0.33794966340065
2.0,lstm,64.0,400.0,0.6,0.001,2.0,0.2518073320388794
3.0,lstm,32.0,200.0,0.6,0.001,2.0,0.3009319603443146
2.0,lstm,32.0,200.0,0.6,0.001,1.0,0.31112271547317505
2.0,lstm,32.0,200.0,0.6,0.001,2.0,0.3099033236503601
3.0,lstm,64.0,400.0,0.8,0.001,2.0,0.3178294599056244
2.0,lstm,32.0,200.0,0.8,0.001,1.0,0.3372528553009033
3.0,lstm,64.0,600.0,0.8,0.001,2.0,0.3014545738697052
3.0,lstm,96.0,400.0,0.6,0.001,1.0,0.27201464772224426
2.0,lstm,32.0,600.0,0.6,0.001,1.0,0.2506750226020813
2.0,lstm,96.0,500.0,0.6,0.001,2.0,0.2572946548461914
2.0,lstm,96.0,300.0,0.6,0.001,2.0,0.2910025119781494
3.0,lstm,64.0,300.0,0.6,0.001,1.0,0.2873443067073822
3.0,lstm,128.0,100.0,0.8,0.001,1.0,0.32000696659088135
2.0,lstm,128.0,300.0,0.6,0.001,1.0,0.2788955569267273
2.0,lstm,96.0,100.0,0.8,0.001,1.0,0.32157477736473083
3.0,lstm,128.0,600.0,0.8,0.001,1.0,0.3153906464576721
2.0,lstm,96.0,400.0,0.8,0.001,2.0,0.3141712248325348
2.0,lstm,64.0,200.0,0.8,0.001,1.0,0.3189617693424225
2.0,lstm,32.0,600.0,0.8,0.001,2.0,0.30023518204689026
3.0,lstm,32.0,600.0,0.8,0.001,2.0,0.2982318699359894
2.0,lstm,128.0,200.0,0.8,0.001,1.0,0.32862991094589233
2.0,lstm,64.0,300.0,0.6,0.001,2.0,0.28516680002212524
3.0,lstm,96.0,500.0,0.8,0.001,2.0,0.32113927602767944
2.0,lstm,128.0,300.0,0.8,0.001,1.0,0.33159133791923523
2.0,lstm,96.0,500.0,0.6,0.001,1.0,0.25145894289016724
2.0,lstm,128.0,300.0,0.6,0.001,2.0,0.2814214825630188
2.0,lstm,96.0,300.0,0.8,0.001,2.0,0.3354237377643585
2.0,lstm,128.0,600.0,0.8,0.001,1.0,0.30972912907600403
3.0,lstm,32.0,100.0,0.8,0.001,1.0,0.3185262680053711
2.0,lstm,96.0,400.0,0.6,0.001,1.0,0.2748018503189087
3.0,lstm,64.0,100.0,0.6,0.001,1.0,0.32026827335357666
3.0,lstm,32.0,600.0,0.6,0.001,1.0,0.27471473813056946
3.0,lstm,32.0,300.0,0.8,0.001,1.0,0.32166188955307007
3.0,lstm,64.0,100.0,0.8,0.001,2.0,0.32758471369743347
2.0,lstm,96.0,200.0,0.6,0.001,1.0,0.31983277201652527
3.0,lstm,64.0,300.0,0.8,0.001,1.0,0.3301977217197418
2.0,lstm,64.0,300.0,0.8,0.001,2.0,0.318352073431015
2.0,lstm,96.0,100.0,0.6,0.001,1.0,0.32523298263549805
3.0,lstm,128.0,200.0,0.8,0.001,1.0,0.34117236733436584
5.0,lstm,96.0,200.0,0.8,0.001,1.0,0.33707866072654724
5.0,lstm,64.0,400.0,0.8,0.001,1.0,0.31208083033561707
5.0,lstm,96.0,100.0,0.8,0.001,1.0,0.3246232867240906
5.0,lstm,96.0,100.0,0.6,0.001,2.0,0.3246232867240906
5.0,lstm,32.0,500.0,0.6,0.001,2.0,0.2649594843387604
4.0,lstm,96.0,100.0,0.8,0.001,2.0,0.3051128089427948
5.0,lstm,128.0,300.0,0.6,0.001,1.0,0.29291874170303345
4.0,lstm,32.0,500.0,0.8,0.001,1.0,0.30633220076560974
5.0,lstm,32.0,300.0,0.8,0.001,1.0,0.31338733434677124
4.0,lstm,128.0,600.0,0.6,0.001,2.0,0.27149203419685364
5.0,lstm,96.0,500.0,0.8,0.001,2.0,0.3265394866466522
4.0,lstm,128.0,600.0,0.8,0.001,1.0,0.32140058279037476
4.0,lstm,128.0,100.0,0.8,0.001,1.0,0.32915252447128296
4.0,lstm,128.0,100.0,0.6,0.001,1.0,0.32322967052459717
5.0,lstm,64.0,100.0,0.6,0.001,1.0,0.32775890827178955
5.0,lstm,128.0,500.0,0.6,0.001,1.0,0.26966291666030884
4.0,lstm,96.0,200.0,0.8,0.001,1.0,0.3361205458641052
4.0,lstm,128.0,200.0,0.8,0.001,2.0,0.3319397270679474
5.0,lstm,32.0,100.0,0.8,0.001,1.0,0.3134744465351105
5.0,lstm,64.0,600.0,0.8,0.001,1.0,0.3233167827129364
4.0,lstm,32.0,600.0,0.8,0.001,2.0,0.3071160912513733
4.0,lstm,128.0,500.0,0.8,0.001,1.0,0.31661003828048706
4.0,lstm,64.0,300.0,0.8,0.001,2.0,0.32862991094589233
