model;n_padded;k;style;replication;mrr;hit;coverage
3;24;5;lstm;8;0.1824042706087671;0.22543886664613488;0.23159509202453987
3;24;5;lstm;9;0.1983574581665128;0.23929781336618416;0.22906441717791412
3;24;5;lstm;10;0.17903192690688846;0.22543886664613488;0.2151840490797546
4;24;5;lstm;1;0.18424186428498107;0.22913458577148138;0.22070552147239264
4;24;5;lstm;2;0.1755928549430244;0.2161995688327687;0.2294478527607362
4;24;5;lstm;3;0.17386305307463298;0.21897135817677857;0.2240030674846626
4;24;5;lstm;4;0.17592136330972188;0.21589159223898985;0.20866564417177913
4;24;5;lstm;5;0.182712247202546;0.22944256236526023;0.20398773006134968
4;24;5;lstm;6;0.18500153988296905;0.23005851555281798;0.2233128834355828
4;24;5;lstm;7;0.18356431577866772;0.23036649214659685;0.22553680981595092
4;24;5;lstm;8;0.18194743866132845;0.2229750538959039;0.23013803680981595
4;24;5;lstm;9;0.1886099989734115;0.23529411764705882;0.21058282208588958
4;24;5;lstm;10;0.18998049481572746;0.2343701878657222;0.22837423312883437
5;24;5;lstm;1;0.18782465865927522;0.22944256236526023;0.22177914110429447
5;24;5;lstm;2;0.1835643157786677;0.2229750538959039;0.22200920245398773
5;24;5;lstm;3;0.17224104301406437;0.2208192177394518;0.23466257668711657
5;24;5;lstm;4;0.18431885843342583;0.2263627964274715;0.22691717791411042
5;24;5;lstm;5;0.19041166204701782;0.23406221127194332;0.2322085889570552
5;24;5;lstm;6;0.18379016528077202;0.2245149368647983;0.21733128834355828
5;24;5;lstm;7;0.18328200390103688;0.2263627964274715;0.22868098159509204
5;24;5;lstm;8;0.17905759162303664;0.22605481983369263;0.22438650306748467
5;24;5;lstm;9;0.19017554665845407;0.2343701878657222;0.2179447852760736
5;24;5;lstm;10;0.19103274817780527;0.23190637511549123;0.21487730061349694
6;24;5;lstm;1;0.1748742428908736;0.21804742839544194;0.20053680981595093
6;24;5;lstm;2;0.19163843547890366;0.23868186017862641;0.20414110429447851
6;24;5;lstm;3;0.17975567190226885;0.22359100708346166;0.19585889570552148
6;24;5;lstm;4;0.18950826403859974;0.22944256236526023;0.2013036809815951
6;24;5;lstm;5;0.17393491427984795;0.21465968586387435;0.19624233128834356
6;24;5;lstm;6;0.18498614105328;0.2343701878657222;0.19340490797546012
6;24;5;lstm;7;0.17802073709064783;0.21589159223898985;0.20069018404907976
6;24;5;lstm;8;0.18021763679293712;0.2229750538959039;0.20191717791411043
6;24;5;lstm;9;0.1709424083769633;0.210655990144749;0.19562883435582823
6;24;5;lstm;10;0.19295760188892327;0.23591007083461657;0.20299079754601226
7;24;5;lstm;1;0.18716250898265063;0.23529411764705882;0.19279141104294478
7;24;5;lstm;2;0.1851401293501695;0.23190637511549123;0.2102760736196319
7;24;5;lstm;3;0.18726003490401405;0.23591007083461657;0.21142638036809816
7;24;5;lstm;4;0.18269171542962742;0.23005851555281798;0.2129601226993865
7;24;5;lstm;5;0.18482188686993128;0.22821065599014476;0.20751533742331288
7;24;5;lstm;6;0.1801919720767889;0.22359100708346166;0.2080521472392638
7;24;5;lstm;7;0.1827481778051535;0.22944256236526023;0.20107361963190185
7;24;5;lstm;8;0.1901550148855354;0.23498614105327995;0.21457055214723927
7;24;5;lstm;9;0.18988296889436415;0.24545734524176163;0.21771472392638036
7;24;5;lstm;10;0.1821424905040551;0.22821065599014476;0.2200153374233129
8;24;5;lstm;1;0.19065804332204098;0.23621804742839544;0.22868098159509204
8;24;5;lstm;2;0.18930294630941402;0.23868186017862641;0.21541411042944786
8;24;5;lstm;3;0.1927779488758855;0.24237757930397288;0.21641104294478528
8;24;5;lstm;4;0.18650035930602624;0.2402217431475208;0.2293711656441718
8;24;5;lstm;5;0.1883430859254697;0.2402217431475208;0.21533742331288344
8;24;5;lstm;6;0.1921004003695721;0.2368340006159532;0.2284509202453988
8;24;5;lstm;7;0.18240940355199683;0.2297505389590391;0.22384969325153375
8;24;5;lstm;8;0.18584847551586092;0.23283030489682785;0.22062883435582822
8;24;5;lstm;9;0.20028231187763082;0.24730520480443485;0.22124233128834356
8;24;5;lstm;10;0.1972025459398421;0.24484139205420388;0.23113496932515337
1;32;5;lstm;1;0.1765475823837388;0.22235910070834616;0.20291411042944785
1;32;5;lstm;2;0.18058207576224228;0.22359100708346166;0.21096625766871166
1;32;5;lstm;3;0.1858946720049277;0.22667077302125038;0.1928680981595092
1;32;5;lstm;4;0.1800277178934403;0.2242069602710194;0.20552147239263804
1;32;5;lstm;5;0.17126578380043106;0.21773945180166307;0.20145705521472393
1;32;5;lstm;6;0.17227697361667188;0.21373575608253773;0.20115030674846626
1;32;5;lstm;7;0.17280566676932557;0.2140437326763166;0.19884969325153373
1;32;5;lstm;8;0.17585463504773638;0.22112719433323066;0.19447852760736195
1;32;5;lstm;9;0.17285699620162193;0.21650754542654757;0.19762269938650306
