model;n_padded;k;style;replication;mrr;hit;coverage
last-k;32;5;last-k;9;0.04472038263428993;0.09823399558498896;0.20828220858895705
last-k;32;5;last-k;10;0.04912627761292451;0.09990108803165183;0.22569018404907976
1;32;5;lstm;1;0.18370290524586805;0.22697874961502926;0.21487730061349694
1;32;5;lstm;2;0.16953084898881018;0.21096396673852788;0.19800613496932515
1;32;5;lstm;3;0.16925367005440917;0.2152756390514321;0.19562883435582823
1;32;5;lstm;4;0.17768709578072073;0.21681552202032645;0.21365030674846625
1;32;5;lstm;5;0.17904219279334768;0.22174314752078841;0.20682515337423313
1;32;5;lstm;6;0.1700595421414639;0.20665229442562366;0.19363496932515337
1;32;5;lstm;7;0.18286623549943537;0.22605481983369263;0.20659509202453988
1;32;5;lstm;8;0.17306231393080795;0.21435170927009548;0.20375766871165643
1;32;5;lstm;9;0.18075659583205006;0.22574684323991376;0.19309815950920245
1;32;5;lstm;10;0.1792577764089929;0.2245149368647983;0.1986963190184049
2;32;5;lstm;1;0.18825582589056583;0.23036649214659685;0.2802914110429448
2;32;5;lstm;2;0.18151113848680828;0.22913458577148138;0.2782975460122699
2;32;5;lstm;3;0.1814803408274305;0.2229750538959039;0.2786042944785276
2;32;5;lstm;4;0.1804537521815009;0.22174314752078841;0.281978527607362
2;32;5;lstm;5;0.1845549738219896;0.2229750538959039;0.2789877300613497
2;32;5;lstm;6;0.19562159942511056;0.23837388358484754;0.2707822085889571
2;32;5;lstm;7;0.17041884816753924;0.20850015398829688;0.2878834355828221
2;32;5;lstm;8;0.1785494302433015;0.22851863258392363;0.2887269938650307
2;32;5;lstm;9;0.1779180782260548;0.21496766245765322;0.27883435582822086
2;32;5;lstm;10;0.18264551894056058;0.22728672620880813;0.2789110429447853
3;32;5;lstm;1;0.17906785750949597;0.21927933477055744;0.22998466257668712
3;32;5;lstm;2;0.19296273483215293;0.23960578995996304;0.22377300613496934
3;32;5;lstm;3;0.18411354070424005;0.23005851555281798;0.21894171779141106
3;32;5;lstm;4;0.1881993635150396;0.23190637511549123;0.2062116564417178
3;32;5;lstm;5;0.18547377066009657;0.2263627964274715;0.22154907975460122
3;32;5;lstm;6;0.18540704239811118;0.22851863258392363;0.22384969325153375
3;32;5;lstm;7;0.1983728569962019;0.24761318139821373;0.22162576687116564
3;32;5;lstm;8;0.19832152756390523;0.2411456729288574;0.22254601226993864
3;32;5;lstm;9;0.18697259008315364;0.22821065599014476;0.22661042944785276
3;32;5;lstm;10;0.1823170105738631;0.225130890052356;0.2178680981595092
4;32;5;lstm;1;0.19158710604660717;0.23375423467816445;0.2062883435582822
4;32;5;lstm;2;0.18363104404065309;0.2263627964274715;0.22960122699386504
4;32;5;lstm;3;0.1900780207370907;0.23529411764705882;0.20099693251533743
4;32;5;lstm;4;0.19562673236834013;0.24052971974129966;0.213420245398773
4;32;5;lstm;5;0.17881634329124324;0.225130890052356;0.19164110429447853
4;32;5;lstm;6;0.18466276562981224;0.23252232830304898;0.2195552147239264
4;32;5;lstm;7;0.18536084590904436;0.22851863258392363;0.2205521472392638
4;32;5;lstm;8;0.18498614105327998;0.22851863258392363;0.20590490797546013
4;32;5;lstm;9;0.18703931834513918;0.2288266091777025;0.20513803680981596
4;32;5;lstm;10;0.18582281079971255;0.2309824453341546;0.22714723926380367
5;32;5;lstm;1;0.18592546966430556;0.22667077302125038;0.22162576687116564
5;32;5;lstm;2;0.18588953906169814;0.225130890052356;0.19900306748466257
5;32;5;lstm;3;0.1822040858228108;0.22543886664613488;0.2156441717791411
5;32;5;lstm;4;0.1924853711117957;0.23498614105327995;0.21725460122699386
5;32;5;lstm;5;0.1877579303972899;0.23744995380351094;0.21855828220858894
5;32;5;lstm;6;0.18250179653013035;0.2245149368647983;0.20069018404907976
5;32;5;lstm;7;0.18595626732368348;0.23313828149060672;0.2170245398773006
5;32;5;lstm;8;0.1812955548711631;0.2232830304896828;0.21127300613496933
5;32;5;lstm;9;0.19785956267323698;0.2414536495226363;0.22653374233128834
5;32;5;lstm;10;0.17586490093419568;0.22389898367724054;0.20391104294478526
6;32;5;lstm;1;0.1825531259624269;0.22790267939636588;0.19838957055214723
6;32;5;lstm;2;0.18248126475721174;0.2232830304896828;0.19079754601226995
6;32;5;lstm;3;0.18387742531567605;0.22913458577148138;0.20153374233128835
