c_id;item_name;item_code
8673.0;HASQAR5AA61A514A427;7353.0
8673.0;HASQAR5A536980727AB;6639.0
4690.0;SOGAMB5A2E67122360F;6392.0
4690.0;SOGAMB5A2E6712D257D;6529.0
8673.0;HASQAR5A5369A2BCAEB;6625.0
8673.0;HASQAR5A7449994BBA7;6845.0
8673.0;HASQAR5A53697A43A60;6730.0
8673.0;HASQAR5A5369034ECAE;6685.0
1309.0;HALDYN5A0029AC8AC95;6059.0
2929.0;HALBUK5A013F87DB79F;5723.0
3986.0;APPGAB59FDA0F5CD42D;4930.0
8168.0;MOR59F333319808D;4258.0
8168.0;MOR59F333319808D;4258.0
8168.0;MOR59F333319808D;4258.0
8168.0;MOR59F333319808D;4258.0
8168.0;MOR59F333319808D;4258.0
8673.0;HASQAR5A5369353973B;6744.0
8673.0;HASQAR5A5369922FF49;6687.0
8673.0;HASQAR5A5369353973B;6744.0
8673.0;HASQAR5A5369922FF49;6687.0
8673.0;HASQAR5A744998A7D44;7249.0
2763.0;WOFKAR5A7C14159D862-S;7396.0
2763.0;WOFKAR5A7C14159D862-L;7292.0
2763.0;WOFKAR5A7C1421A59E0-L;6920.0
2763.0;MEFKAR5A7C13F10C4B3;6860.0
407.0;WOFGUL59C24CAA2B44C;6691.0
407.0;WOFGUL59C24CC9BE5D9;6301.0
1126.0;WOFVST5A93B3459E903;7242.0
1126.0;SOGAMB5A2E67122360F;6392.0
8673.0;HASQAR5A53693D2F6FF;7099.0
219.0;HALDYN5A0029B311E6C;6991.0
8496.0;COMA4T5A09A73313F44;4981.0
3360.0;KAR59E85CA11E740;6020.0
3360.0;KAR59E85CC41099D;5567.0
3360.0;KAR59E85CDD98814;6310.0
3360.0;KAR59E85CC756AB3;4162.0
3360.0;HALDYN5A0029A470DE4;5788.0
4045.0;APPROY59BD023B7689B;3821.0
8673.0;HASQAR5A7449994BBA7;6845.0
8673.0;HASQAR5A53697A43A60;6730.0
8567.0;WOFGUL59BAA9DE6AD01;5928.0
8673.0;HASQAR5A744998A7D44;7249.0
8673.0;HASQAR5A53697A43A60;6730.0
3440.0;WOFGUL59ACD3F32F181;3515.0
5427.0;APPORI59D49C100A4F1;6029.0
10012.0;MATINF5A61FBB8820B3;6775.0
5117.0;APPDAW5A802A7DAD4DF;6987.0
6622.0;ENTNOB5A4633C950FAD;6552.0
9398.0;MATSAM5A7463EE3C1A5;7219.0
4246.0;MATSAM5A7463EE3C1A5;7219.0
4246.0;MATSAM5A7463EE3C1A5;7219.0
2371.0;MATSAM5A7463EE3C1A5;7219.0
9938.0;MATINF5A61FBB572173;6748.0
4255.0;MATHUA5A731DFC8C5D7;6825.0
9841.0;MATHUA5A731DFC8C5D7;6825.0
137.0;MATINF5A82CE2F20D8F;6973.0
9938.0;MATINF5A82CE2F20D8F;6973.0
9114.0;BAGDOV5A099F4EF3FFA;6194.0
2371.0;MATHUA5A731DFC8C5D7;6825.0
9973.0;HASQAR5A9509140D5A0;7295.0
9938.0;MATINF5A61FBB8820B3;6775.0
9973.0;MOR59F333319808D;4258.0
4121.0;APPEXP59D49D4BEE741;4086.0
4121.0;MOR5A816ECA30809;7100.0
4121.0;PSO5A434829C02CA;6596.0
4885.0;APPEXP59D49D4BEE741;4086.0
4885.0;PSO5A434829C02CA;6596.0
4885.0;MOR5A816ECA30809;7100.0
3831.0;WOFVST5A93B3459E903;7242.0
3831.0;WOFIMA59AD8F3776FC4;3808.0
9283.0;BAGDOV5A099F4EF3FFA;6194.0
959.0;BAGDOV5A099F4EF3FFA;6194.0
959.0;KNO59D64DAC18B6C;3948.0
959.0;KNO59D64DAF36939;3949.0
959.0;SOF5A74618F1CD83;6989.0
5371.0;WOFGUL59C24CF5419A6;7432.0
5371.0;BAGSAE5A002F0A16016;4849.0
9369.0;BAGDOV5A099F4EF3FFA;6194.0
9369.0;BAGSUN5A9413AFB8484;7272.0
9369.0;SOGAMB5A2E67122360F;6392.0
8168.0;MOR59F333319808D;4258.0
8168.0;KNO59D64DAF36939;3949.0
1085.0;WOFVST5A93B3459E903;7242.0
1848.0;APPCAM59BA8ECCD23F0;4321.0
1349.0;WOFGUL59ACD1BB6E6B1;6370.0
8168.0;MOR59F333319808D;4258.0
8168.0;KNO59D64DAF36939;3949.0
8168.0;MOR59F333319808D;4258.0
8168.0;KNO59D64DAF36939;3949.0
8168.0;MOR59F333319808D;4258.0
8168.0;KNO59D64DAF36939;3949.0
8168.0;MOR59F333319808D;4258.0
8168.0;KNO59D64DAF36939;3949.0
4059.0;MATHUA5A73146142571;7274.0
4059.0;SOGALM5A8BD55915F08;7229.0
985.0;HASQAR5A618CC063535;6771.0
985.0;HASQAR5AA75A531696E;7355.0
6950.0;KABNAD59E0AB2785384;4940.0
6950.0;KABNAD59E0AB2AB1782;5128.0
3986.0;APPORI59DDDAB79889D;7460.0
1064.0;WOFVST5A93B3459E903;7242.0
5578.0;MATSAM5A7463EE3C1A5;7219.0
3092.0;WOFGUL59C24CF5419A6;7432.0
3092.0;WOFGUL59BAAAB7269EE;6805.0
4457.0;MATSAM5A7463EE3C1A5;7219.0
5782.0;APPDAW59E0BC5C6B1E7;4166.0
8468.0;WOFGUL59AD7DB2379AC;6274.0
6797.0;MATSAM5A7463EE3C1A5;7219.0
444.0;MOR5A816ECA30809;7100.0
444.0;BAGVEE5A86819211057;7095.0
444.0;DET59F31AB0BCEDF;5196.0
9163.0;APPGAB59F8AEE1E5325;4490.0
6497.0;APPPHI5A06BF2E14721;4857.0
4097.0;ENTNOB5A4633C950FAD;6552.0
9163.0;ENTNOB5A4633C950FAD;6552.0
2371.0;APPDAW5A802A7DAD4DF;6987.0
5578.0;MATSAM5A7463EE3C1A5;7219.0
2013.0;HASQAR5A9509140D5A0;7295.0
4164.0;MATSAM5A7463EE3C1A5;7219.0
857.0;APPORI59D49CEFCA785;5700.0
483.0;BAGDOV5A099F4F52FAF;6241.0
483.0;KNO59D64DAF36939;3949.0
444.0;MOR5A816ECA30809;7100.0
4164.0;MATSAM5A7463EE3C1A5;7219.0
2013.0;HASQAR5A9509140D5A0;7295.0
2013.0;BAGSAE5A002F0E57F42;5562.0
2013.0;BAGSAE5A002F04EBDF3;4478.0
2013.0;BAGSAE5A002F041D698;4485.0
622.0;WOFGUL59C2434A8E286;6403.0
4130.0;MATSAM5A7463EE3C1A5;7219.0
4130.0;MATSAM5A7463EE3C1A5;7219.0
4130.0;MATSAM5A7463EE3C1A5;7219.0
1971.0;HALSHO59F82E0B3AEED;4582.0
1971.0;HALSHO59F8669F78A2D;4920.0
9299.0;APPNAT5A0A01860CE92;5413.0
9299.0;APPDAW59E0BC5F6107E;4333.0
8903.0;ENTNOB5A4633C950FAD;6552.0
9299.0;APPDAW59E0BC5F6107E;4333.0
9299.0;APPNAT5A0A01860CE92;5413.0
1316.0;ENTNOB5A4633C950FAD;6552.0
247.0;MATSAM5A7463EE3C1A5;7219.0
2013.0;HASQAR5A9509140D5A0;7295.0
98.0;MOR5A8D58C2CB90C;7222.0
98.0;SNO5A685DB296774;6783.0
98.0;SOGALM5A8BD55915F08;7229.0
98.0;SOGALM5A8BD561CA84E;7203.0
8024.0;JAZ5A5F32D789415;6545.0
8024.0;JAZ5A5F32CFCAF24;7377.0
8024.0;MOR59F333319808D;4258.0
8024.0;HASQAR5A53691192C5D;6624.0
8024.0;HASQAR5A618CBE0B442;6767.0
8024.0;HASQAR5A53693BDD568;6637.0
