t_id;t_date;c_id;recency;payment;item_code;category_code;method_code
438198.0;2017-04-05;5;98;11;10;6;1
438207.0;2017-04-05;6;98;1;172;3;1
438214.0;2017-04-05;6;98;6;218;1;1
438215.0;2017-04-05;6;98;1;172;3;1
438238.0;2017-04-05;6;98;5;171;9;1
438239.0;2017-04-05;6;98;1;19;7;1
438258.0;2017-04-05;147;98;3;219;3;1
438259.0;2017-04-05;147;98;1;208;7;1
438260.0;2017-04-05;147;98;7;220;8;1
438262.0;2017-04-05;148;98;6;35;4;1
438270.0;2017-04-05;77;98;1;221;3;1
438271.0;2017-04-05;77;98;1;222;3;1
438278.0;2017-04-05;11;98;5;223;9;1
438279.0;2017-04-05;11;98;1;224;3;1
438283.0;2017-04-05;149;98;3;31;9;1
438284.0;2017-04-05;149;98;5;211;1;1
438288.0;2017-04-05;75;98;379;100;8;1
438313.0;2017-04-05;6;98;10;39;6;1
438320.0;2017-04-05;150;98;1;226;7;1
438317.0;2017-04-05;75;98;7;114;9;1
438334.0;2017-04-05;111;98;2;5;3;1
438336.0;2017-04-05;152;98;5;231;2;1
438337.0;2017-04-05;152;98;5;232;2;1
438338.0;2017-04-05;51;98;339;93;5;2
438340.0;2017-04-05;75;98;7;114;9;1
438344.0;2017-04-05;150;98;1;233;7;1
438345.0;2017-04-05;153;98;8;234;9;1
438347.0;2017-04-05;75;98;10;114;9;1
438370.0;2017-04-05;75;98;6;235;1;1
438383.0;2017-04-05;154;98;6;236;1;5
438391.0;2017-04-05;155;98;1;151;9;1
438392.0;2017-04-05;155;98;2;152;9;1
438395.0;2017-04-05;155;98;1;237;9;1
438397.0;2017-04-05;155;98;1;238;3;1
438412.0;2017-04-05;156;98;2;239;6;1
438414.0;2017-04-05;156;98;2;240;6;1
438416.0;2017-04-05;156;98;6;241;6;1
438417.0;2017-04-05;157;98;6;236;1;1
438421.0;2017-04-05;6;98;11;242;1;1
438423.0;2017-04-05;6;98;6;243;1;1
438429.0;2017-04-05;158;98;6;236;1;1
438431.0;2017-04-05;158;98;6;235;1;1
438425.0;2017-04-05;12;98;5;149;6;1
438426.0;2017-04-05;12;98;5;37;6;1
438428.0;2017-04-05;12;98;5;165;6;1
438433.0;2017-04-05;157;98;6;243;1;1
438435.0;2017-04-05;157;98;1;15;3;1
438442.0;2017-04-05;12;98;1;119;7;1
438443.0;2017-04-05;12;98;2;245;6;1
438453.0;2017-04-05;158;98;11;236;1;1
438455.0;2017-04-05;158;98;11;243;1;1
438468.0;2017-04-05;6;98;6;236;1;1
438465.0;2017-04-05;159;98;6;142;1;1
