model,n_time,emb_unit,rnn_unit,drop_rate,learning,acc,loss,hit,map,ndcg,repl,n_epoch,n_train_c,n_val_c
1,8,256,1000,0.8,0.0001,0.1408167630434036,1.4486654996871948,0.2688968875714588,0.1695526884725355,0.2068801772144773,3,38,19107,4723
1,8,256,1000,0.8,0.0001,0.1335299015045166,1.5197186470031738,0.2633242047609016,0.1622756896251695,0.20082848456012,4,37,19083,4747
1,8,256,1000,0.8,0.0001,0.1418748199939727,1.4849003553390503,0.2751522789329972,0.1690907670697996,0.2092874356708178,5,38,19069,4761
1,8,512,400,0.8,0.0001,0.1451229751110077,1.495899319648743,0.2798068849706129,0.1716081761718884,0.213467171072429,1,53,19066,4764
1,8,512,400,0.8,0.0001,0.1409269124269485,1.472891330718994,0.2753290160852308,0.1694535827127337,0.2115673703012079,2,51,19043,4787
1,8,512,400,0.8,0.0001,0.1405753046274185,1.512115716934204,0.2780383795309168,0.1681411266836089,0.2101411929419848,3,52,19140,4690
1,8,512,400,0.8,0.0001,0.1386259943246841,1.5452308654785156,0.2752598752598753,0.1650484846442219,0.2072094793740847,4,54,19020,4810
1,8,512,400,0.8,0.0001,0.1410445123910904,1.493051528930664,0.2895234096157884,0.1729293940931766,0.2173710505050408,5,49,19067,4763
1,8,512,600,0.8,0.0001,0.1430967003107071,1.498493790626526,0.2779177162048699,0.1697952941164655,0.2116302178315341,1,44,19066,4764
1,8,512,600,0.8,0.0001,0.1417670100927353,1.4759657382965088,0.281178190933779,0.1710093212689254,0.21415384124281,2,42,19043,4787
1,8,512,600,0.8,0.0001,0.1403632760047912,1.5129830837249756,0.2816631130063965,0.1706184100919872,0.2138690552529508,3,43,19140,4690
1,8,512,600,0.8,0.0001,0.1393068730831146,1.543468952178955,0.2771309771309771,0.1645295866345522,0.2066480918886215,4,43,19020,4810
1,8,512,600,0.8,0.0001,0.1409744173288345,1.491901159286499,0.2874238925047239,0.1735839051516479,0.2172731532141687,5,42,19067,4763
1,8,512,800,0.8,0.0001,0.1400280892848968,1.485681653022766,0.2832175194777848,0.1703853164659888,0.2126583882545298,1,39,19081,4749
1,8,512,800,0.8,0.0001,0.1414950937032699,1.5006626844406128,0.277351048370355,0.1707390818824397,0.2113829732011174,2,37,19013,4817
1,8,512,800,0.8,0.0001,0.1385080516338348,1.4687362909317017,0.2761864938323228,0.1703131859518254,0.2097202695120828,3,38,19047,4783
1,8,512,800,0.8,0.0001,0.1369694322347641,1.4503915309906006,0.2740518534390401,0.1649239642336389,0.2096062307489393,4,38,19163,4667
