model;n_padded;k;style;hit;recall;map;ndcg;replication
2;30;20;lstm;0.2967032967032967;0.2967032967032967;0.18118460894869032;0.22316946371508362;4
2;30;20;lstm;0.30528052805280526;0.30528052805280526;0.18253339282118822;0.22252329362105683;5
2;30;20;lstm;0.28378378378378377;0.28378378378378377;0.163762921296461;0.2046033926877791;6
2;30;20;lstm;0.2864;0.2864;0.1795469867662437;0.21975158229033215;7
2;30;20;lstm;0.30271084337349397;0.30271084337349397;0.1815455007971397;0.22828973525371332;8
2;30;20;lstm;0.30709876543209874;0.30709876543209874;0.17229972196790802;0.2173630762109852;9
2;30;20;lstm;0.31098430813124106;0.31098430813124106;0.19320124723954066;0.23706240288528566;10
3;28;20;lstm;0.3520485584218513;0.3520485584218513;0.20127827750668442;0.2554958355343496;1
3;28;20;lstm;0.3393665158371041;0.3393665158371041;0.2058189245756664;0.253701866221618;2
3;28;20;lstm;0.29250720461095103;0.29250720461095103;0.16630271657032436;0.21495089307359191;3
3;28;20;lstm;0.3018292682926829;0.3018292682926829;0.17201770700735963;0.21804666372210052;4
3;28;20;lstm;0.30345911949685533;0.30345911949685533;0.191220550247253;0.23248675085287837;5
3;28;20;lstm;0.3349282296650718;0.3349282296650718;0.19925605755464146;0.24849097214642182;6
3;28;20;lstm;0.3187702265372168;0.3187702265372168;0.17874579599327114;0.23421872383124226;7
3;28;20;lstm;0.32978723404255317;0.32978723404255317;0.2070990653470398;0.2551742865579926;8
3;28;20;lstm;0.3161189358372457;0.3161189358372457;0.1903588980692209;0.24079194523170872;9
3;28;20;lstm;0.32679738562091504;0.32679738562091504;0.18294015758541038;0.23755224836039715;10
3;30;20;lstm;0.3181818181818182;0.3181818181818182;0.19803337172719435;0.2438265856823217;1
3;30;20;lstm;0.29819277108433734;0.29819277108433734;0.17816694521136128;0.22144780002172465;2
3;30;20;lstm;0.296987087517934;0.296987087517934;0.16160402232411417;0.21335273158771695;3
3;30;20;lstm;0.3245997088791849;0.3245997088791849;0.1932960407643375;0.24311285836432395;4
3;30;20;lstm;0.3470948012232416;0.3470948012232416;0.2018618129849561;0.252318659033647;5
3;30;20;lstm;0.32465543644716693;0.32465543644716693;0.16835392328318527;0.22083756938731403;6
3;30;20;lstm;0.32636655948553056;0.32636655948553056;0.20307734761204296;0.2503186611344129;7
3;30;20;lstm;0.3210445468509985;0.3210445468509985;0.18726907846338292;0.23371675575046363;8
3;30;20;lstm;0.3062200956937799;0.3062200956937799;0.15805281940701235;0.21034162693370229;9
3;30;20;lstm;0.3317384370015949;0.3317384370015949;0.18502976100965943;0.23997935124741335;10
4;28;20;lstm;0.2968036529680365;0.2968036529680365;0.1644468542015087;0.21342394849859217;1
4;28;20;lstm;0.28639240506329117;0.28639240506329117;0.1692209730370564;0.21657299056498316;2
4;28;20;lstm;0.3469079939668175;0.3469079939668175;0.186401920825383;0.24182627446941932;3
4;28;20;lstm;0.3333333333333333;0.3333333333333333;0.21116688501709255;0.2554082643337819;4
4;28;20;lstm;0.32116788321167883;0.32116788321167883;0.18522584357983563;0.2334280671014088;5
4;28;20;lstm;0.32786885245901637;0.32786885245901637;0.1918798230069472;0.24561325190957553;6
4;28;20;lstm;0.3322314049586777;0.3322314049586777;0.18013575931583758;0.23861545305316803;7
4;28;20;lstm;0.3247172859450727;0.3247172859450727;0.1893270787141106;0.23772367428126803;8
4;28;20;lstm;0.32926829268292684;0.32926829268292684;0.19536987560654542;0.24104199925721775;9
4;28;20;lstm;0.33949579831932775;0.33949579831932775;0.19549894446654079;0.24849996576717914;10
4;30;20;lstm;0.33774834437086093;0.33774834437086093;0.1974062021239763;0.24408497117359684;1
